ENTREZID	ENSEMBL	SYMBOL
146909	ENSG00000186185	KIF18B
23475	ENSG00000103485	QPRT
4321	ENSG00000262406	MMP12
11182	ENSG00000160326	SLC2A6
11182	ENSG00000281165	SLC2A6
10112	ENSG00000112984	KIF20A
3902	ENSG00000089692	LAG3
3620	ENSG00000131203	IDO1
3887	ENSG00000205426	KRT81
51514	ENSG00000143476	DTL
6790	ENSG00000087586	AURKA
4521	ENSG00000106268	NUDT1
891	ENSG00000134057	CCNB1
57110	ENSG00000127252	PLAAT1
8544	ENSG00000087842	PIR
1448	ENSG00000171209	CSN3
24137	ENSG00000090889	KIF4A
6355	ENSG00000108700	CCL8
10578	ENSG00000115523	GNLY
4174	ENSG00000100297	MCM5
9232	ENSG00000164611	PTTG1
643314	ENSG00000127603	KIAA0754
1307	ENSG00000084636	COL16A1
776	ENSG00000157388	CACNA1D
4129	ENSG00000069535	MAOB
9370	ENSG00000181092	ADIPOQ
196740	ENSG00000165633	VSTM4
25924	ENSG00000170011	MYRIP
8857	ENSG00000275395	FCGBP
8857	ENSG00000281123	FCGBP
1602	ENSG00000276644	DACH1
51161	ENSG00000088543	C3orf18
3708	ENSG00000150995	ITPR1
23090	ENSG00000102935	ZNF423
10742	ENSG00000131831	RAI2
51760	ENSG00000103528	SYT17
9122	ENSG00000168679	SLC16A4
10699	ENSG00000145244	CORIN
8416	ENSG00000143412	ANXA9
60598	ENSG00000124249	KCNK15
79148	ENSG00000271447	MMP28
79148	ENSG00000278843	MMP28
64799	ENSG00000103599	IQCH
4629	ENSG00000133392	MYH11
4629	ENSG00000276480	MYH11
1556	ENSG00000256612	CYP2B7P
55096	ENSG00000255423	EBLN2
26289	ENSG00000154027	AK5
6038	ENSG00000258818	RNASE4
771	ENSG00000074410	CA12
51313	ENSG00000164125	GASK1B
23704	ENSG00000152049	KCNE4
3117	ENSG00000196735	HLA-DQA1
3117	ENSG00000257473	HLA-DQA1
3117	ENSG00000232062	HLA-DQA1
3117	ENSG00000231526	HLA-DQA1
3117	ENSG00000236418	HLA-DQA1
3117	ENSG00000233192	HLA-DQA1
3117	ENSG00000223793	HLA-DQA1
3117	ENSG00000237541	HLA-DQA1
3117	ENSG00000228284	HLA-DQA1
3117	ENSG00000206301	HLA-DQA1
3117	ENSG00000206305	HLA-DQA1
3117	ENSG00000225103	HLA-DQA1
3117	ENSG00000225890	HLA-DQA1
3117	ENSG00000231823	HLA-DQA1
80129	ENSG00000120262	CCDC170
23158	ENSG00000109436	TBC1D9
125	ENSG00000196616	ADH1B
4958	ENSG00000127083	OMD
4857	ENSG00000139910	NOVA1
1311	ENSG00000105664	COMP
5105	ENSG00000124253	PCK1
5174	ENSG00000174827	PDZK1
730	ENSG00000112936	C7
2018	ENSG00000170370	EMX2
81563	ENSG00000116667	C1orf21
2532	ENSG00000213088	ACKR1
1308	ENSG00000065618	COL17A1
4250	ENSG00000110484	SCGB2A2
23362	ENSG00000156011	PSD3
2167	ENSG00000170323	FABP4
51705	ENSG00000164035	EMCN
2593	ENSG00000130005	GAMT
652	ENSG00000125378	BMP4
80736	ENSG00000204385	SLC44A4
80736	ENSG00000228263	SLC44A4
80736	ENSG00000235336	SLC44A4
80736	ENSG00000232180	SLC44A4
80736	ENSG00000231479	SLC44A4
80736	ENSG00000229077	SLC44A4
80736	ENSG00000203463	SLC44A4
80736	ENSG00000206378	SLC44A4
4036	ENSG00000081479	LRP2
57502	ENSG00000146938	NLGN4X
5507	ENSG00000119938	PPP1R3C
56521	ENSG00000108176	DNAJC12
22885	ENSG00000173210	ABLIM3
4137	ENSG00000186868	MAPT
4137	ENSG00000277956	MAPT
4137	ENSG00000276155	MAPT
8483	ENSG00000138615	CILP
8839	ENSG00000064205	CCN5
2066	ENSG00000178568	ERBB4
4693	ENSG00000124479	NDP
4148	ENSG00000132031	MATN3
79083	ENSG00000115648	MLPH
1101	ENSG00000136457	CHAD
3158	ENSG00000134240	HMGCS2
3169	ENSG00000129514	FOXA1
5346	ENSG00000166819	PLIN1
1408	ENSG00000121671	CRY2
9547	ENSG00000145824	CXCL14
2922	ENSG00000134443	GRP
11283	ENSG00000186526	CYP4F8
64499	ENSG00000197253	TPSB2
54829	ENSG00000106819	ASPN
1524	ENSG00000168329	CX3CR1
10234	ENSG00000128606	LRRC17
1580	ENSG00000142973	CYP4B1
10647	ENSG00000124935	SCGB1D2
25893	ENSG00000162722	TRIM58
24141	ENSG00000125869	LAMP5
10351	ENSG00000141338	ABCA8
2330	ENSG00000131781	FMO5
5304	ENSG00000159763	PIP
79846	ENSG00000105792	CFAP69
8614	ENSG00000113739	STC2
2625	ENSG00000107485	GATA3
7021	ENSG00000008196	TFAP2B
7802	ENSG00000163879	DNALI1
79689	ENSG00000127954	STEAP4
11122	ENSG00000196090	PTPRT
55351	ENSG00000152953	STK32B
9	ENSG00000171428	NAT1
4239	ENSG00000166482	MFAP4
5241	ENSG00000082175	PGR
10551	ENSG00000106541	AGR2
10974	ENSG00000148671	ADIRF
79838	ENSG00000103534	TMC5
79901	ENSG00000071967	CYBRD1
57758	ENSG00000175356	SCUBE2
4969	ENSG00000106809	OGN
